zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
612	16.06.2019 19:28	130	3	17	32	0	26	47	9	1
611	16.06.2019 20:28	141	4	20	33	0	26	47	9	1
610	16.06.2019 21:28	120	5	26	19	0	26	47	9	1
609	16.06.2019 22:28	144	2	27	27	0	26	47	9	1
608	16.06.2019 23:28	138	4	28	24	0	26	47	9	1
607	17.06.2019 00:28	136	2	25	26	0	26	47	9	1
606	17.06.2019 01:28	187	2	36	34	0	26	47	9	1
605	17.06.2019 02:28	147	2	27	28	0	26	47	9	1
604	17.06.2019 03:28	168	0	28	35	0	26	47	9	1
603	17.06.2019 04:28	165	5	32	30	0	26	47	9	1
602	17.06.2019 05:28	187	3	36	34	0	26	47	9	1
601	17.06.2019 06:28	168	3	28	35	0	26	47	9	1
600	17.06.2019 07:28	200	3	41	34	0	26	47	9	1
599	17.06.2019 08:28	200	7	41	34	0	26	47	9	1
598	17.06.2019 09:28	286	2	53	54	0	26	47	9	1
597	17.06.2019 10:28	243	4	40	51	0	26	47	9	1
596	17.06.2019 11:28	217	3	36	46	0	26	46	9	1
595	17.06.2019 12:28	195	0	28	46	0	26	46	9	1
594	17.06.2019 13:28	164	1	24	38	0	26	46	9	1
593	17.06.2019 14:28	150	2	29	28	0	26	46	9	1
592	17.06.2019 15:28	165	3	33	30	0	26	45	9	1
591	17.06.2019 16:28	167	5	26	38	0	26	45	9	1
590	17.06.2019 17:28	152	4	26	32	0	26	45	9	1
589	17.06.2019 18:28	191	3	31	42	0	26	45	9	1
588	17.06.2019 19:28	186	4	36	35	0	26	45	9	1
587	17.06.2019 20:28	157	1	35	25	0	26	45	9	1
586	17.06.2019 21:28	154	4	30	29	0	26	45	9	1
585	17.06.2019 22:28	153	4	26	34	0	25	45	9	1
584	17.06.2019 23:28	191	0	35	40	0	25	45	9	1
583	18.06.2019 00:28	214	4	37	47	0	25	45	9	1
582	18.06.2019 01:28	189	10	43	31	0	25	45	9	1
581	18.06.2019 02:28	183	3	39	32	0	25	46	9	1
580	18.06.2019 03:28	183	3	33	38	0	25	46	9	1
579	18.06.2019 04:28	206	7	38	42	0	25	46	9	1
578	18.06.2019 05:28	193	2	34	41	0	25	46	9	1
577	18.06.2019 06:28	196	3	28	48	0	25	46	9	1
576	18.06.2019 07:28	191	3	35	39	0	25	46	9	1
575	18.06.2019 08:28	255	2	43	56	0	25	46	9	1
574	18.06.2019 09:28	183	2	26	45	0	25	46	9	1
573	18.06.2019 10:28	161	4	31	32	0	25	45	9	1
572	18.06.2019 11:28	153	5	31	29	0	25	45	9	1
571	18.06.2019 12:28	168	3	31	35	0	25	45	9	1
570	18.06.2019 13:28	167	2	34	30	0	26	45	9	1
569	18.06.2019 14:28	146	3	30	26	0	26	45	9	1
568	18.06.2019 15:28	160	5	31	30	0	26	45	9	1
567	18.06.2019 16:28	186	1	30	41	0	26	45	9	1
566	18.06.2019 17:28	165	2	39	24	0	26	45	9	1
565	18.06.2019 18:28	246	2	50	45	0	26	44	9	1
564	18.06.2019 19:28	181	2	29	41	0	26	44	9	1
563	18.06.2019 20:28	212	0	35	47	0	26	44	9	1
562	18.06.2019 21:28	174	1	32	35	0	26	44	9	1
561	18.06.2019 22:28	157	1	34	28	0	25	44	9	1
560	18.06.2019 23:28	156	1	25	36	0	25	45	9	1
559	19.06.2019 00:28	133	3	23	29	0	25	45	9	1
558	19.06.2019 01:28	115	2	23	22	0	25	45	9	1
557	19.06.2019 02:28	174	3	35	33	0	25	45	9	1
556	19.06.2019 03:28	145	2	30	27	0	25	45	9	1
