záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
189	19.06.2019 12:36	361	8	37	53	0	26	46	9	1	
190	19.06.2019 13:36	398	4	46	53	0	26	46	9	1	
191	19.06.2019 14:36	353	2	33	55	0	26	46	9	1	
192	19.06.2019 15:36	365	10	43	48	0	26	46	9	1	
193	19.06.2019 16:36	369	8	42	50	0	26	46	9	1	
194	19.06.2019 17:36	377	1	42	52	0	26	46	9	1	
195	19.06.2019 18:36	285	5	36	35	0	26	46	9	1	
196	19.06.2019 19:36	237	4	30	29	0	26	46	9	1	
197	19.06.2019 20:36	273	4	30	38	0	26	46	9	1	
198	19.06.2019 21:36	285	7	35	36	0	26	46	9	1	
199	19.06.2019 22:36	312	1	40	37	0	26	47	9	1	
200	19.06.2019 23:36	247	9	29	32	0	26	47	9	1	
201	20.06.2019 00:36	344	2	46	39	0	26	47	9	1	
202	20.06.2019 01:36	265	7	33	34	1	25	47	9	1	
203	20.06.2019 02:36	265	6	32	35	0	25	47	9	1	
204	20.06.2019 03:36	245	7	27	35	2	25	47	9	1	
205	20.06.2019 04:36	308	6	36	42	0	25	47	9	1	
206	20.06.2019 05:36	217	6	23	32	0	25	47	9	1	
207	20.06.2019 06:36	186	5	20	26	0	26	47	9	1	
208	20.06.2019 07:36	273	5	32	36	0	26	46	9	1	
209	20.06.2019 08:36	317	2	55	24	0	26	46	9	1	
210	20.06.2019 09:36	390	3	45	52	0	26	46	9	1	
211	09.07.2019 13:17	76	2	20	3	0	24	34	9	1	
212	09.07.2019 14:17	140	7	26	16	0	24	34	9	1	
213	09.07.2019 15:17	140	5	21	21	0	24	34	9	1	
214	09.07.2019 16:17	145	7	20	23	0	24	35	9	1	
215	09.07.2019 17:17	162	2	20	28	0	24	35	9	1	
216	09.07.2019 18:17	131	3	16	23	0	24	35	9	1	
217	09.07.2019 19:17	97	1	10	19	0	24	35	9	1	
218	09.07.2019 20:17	121	1	20	16	0	24	35	9	1	
219	09.07.2019 21:17	74	2	10	12	0	24	35	9	1	
220	09.07.2019 22:17	88	1	13	14	0	23	35	9	1	
221	09.07.2019 23:17	108	2	17	16	0	23	35	9	1	
222	10.07.2019 00:17	113	3	17	17	0	23	36	9	1	
223	10.07.2019 01:17	146	5	20	24	0	23	36	9	1	
224	10.07.2019 02:17	170	4	30	21	0	23	36	9	1	
225	10.07.2019 03:17	183	4	30	25	0	23	36	9	1	
226	10.07.2019 04:17	236	6	34	36	0	23	37	9	1	
227	10.07.2019 05:17	203	7	34	28	0	22	37	9	1	
228	10.07.2019 06:17	226	8	31	38	0	22	37	9	1	
229	10.07.2019 07:17	259	3	42	37	0	22	37	9	1	
230	10.07.2019 08:17	199	4	23	36	0	23	37	9	1	
231	10.07.2019 09:17	155	1	18	28	0	23	37	9	1	
232	10.07.2019 10:17	77	5	10	13	0	23	37	9	1	
233	10.07.2019 11:17	50	0	4	11	0	23	37	9	1	
234	10.07.2019 12:17	47	1	6	8	0	24	36	9	1	
235	10.07.2019 13:17	51	0	7	8	0	24	36	9	1	
236	10.07.2019 14:17	33	0	2	8	0	24	35	9	1	
237	10.07.2019 15:17	16	0	1	4	0	24	35	9	1	
238	10.07.2019 16:17	6	0	0	2	0	24	34	9	1	
239	10.07.2019 17:17	43	1	8	5	0	24	34	9	1	
240	10.07.2019 18:17	41	0	8	4	0	25	34	9	1	
241	10.07.2019 19:17	34	0	5	5	0	25	35	9	1	
242	10.07.2019 20:17	65	0	12	7	0	25	35	9	1	
243	10.07.2019 21:17	68	2	13	7	0	24	36	9	1	
244	10.07.2019 22:17	85	1	12	13	0	24	36	9	1	
245	10.07.2019 23:17	116	2	15	19	0	24	36	9	1	
246	11.07.2019 00:17	112	4	18	15	0	24	36	9	1	
247	11.07.2019 01:17	169	4	21	28	0	24	37	9	1	
248	11.07.2019 02:17	138	6	19	21	0	24	37	9	1	
