record	time	radon[Bq/m3]	sum1	sum2	sum3	sum4	temperature[°C]	humidity[%]	HV	algorithm
439	02.06.2019 1:27	477	9	106	93	0	17	62	9	1
438	02.06.2019 2:27	544	5	106	121	0	17	62	9	1
437	02.06.2019 3:27	453	12	86	103	0	17	62	9	1
436	02.06.2019 4:27	458	10	94	97	0	17	62	9	1
435	02.06.2019 5:27	450	8	75	113	0	17	62	9	1
434	02.06.2019 6:27	450	11	86	102	0	17	62	9	1
433	02.06.2019 7:27	393	8	79	85	0	17	62	9	1
432	02.06.2019 8:27	475	9	103	90	0	18	62	9	1
431	02.06.2019 9:27	425	9	95	73	0	19	62	9	1
430	02.06.2019 10:27	324	5	39	87	0	20	61	9	1
429	02.06.2019 11:27	123	3	8	40	0	20	61	9	1
428	02.06.2019 12:27	67	3	11	15	0	20	61	9	1
427	02.06.2019 13:27	66	0	10	16	0	20	60	9	1
426	02.06.2019 14:27	55	0	8	14	0	20	59	9	1
425	02.06.2019 15:27	66	0	17	9	0	21	57	9	1
424	02.06.2019 16:27	282	4	84	29	0	20	57	9	1
423	02.06.2019 17:27	416	7	94	71	1	20	58	9	1
422	02.06.2019 18:27	539	5	113	101	0	20	58	9	1
421	02.06.2019 19:27	542	9	113	102	0	20	58	9	1
420	02.06.2019 20:27	561	8	93	128	0	20	59	9	1
419	02.06.2019 21:27	759	4	158	141	0	20	59	9	1
418	02.06.2019 22:27	922	21	186	177	0	20	59	9	1
417	02.06.2019 23:27	963	19	197	182	0	20	59	9	1
416	03.06.2019 0:27	942	16	178	193	0	20	59	9	1
415	03.06.2019 1:27	1085	12	226	201	0	20	59	9	1
414	03.06.2019 2:27	1036	15	171	237	0	20	59	9	1
413	03.06.2019 3:27	831	13	163	173	0	19	59	9	1
412	03.06.2019 4:27	826	17	147	187	0	19	59	9	1
411	03.06.2019 5:27	749	16	142	161	0	19	59	9	1
410	03.06.2019 6:27	772	15	153	159	0	19	59	9	1
409	03.06.2019 7:27	844	17	167	174	0	19	59	9	1
408	03.06.2019 8:27	792	11	150	162	0	20	59	9	1
407	03.06.2019 9:27	777	9	146	160	0	20	59	9	1
406	03.06.2019 10:27	703	16	114	163	0	20	59	9	1
405	03.06.2019 11:27	647	10	134	121	0	20	59	9	1
404	03.06.2019 12:27	683	18	130	139	0	20	59	9	1
403	03.06.2019 13:27	708	15	152	127	0	20	59	9	1
402	03.06.2019 14:27	757	16	135	163	0	20	59	9	1
401	03.06.2019 15:27	736	12	145	145	0	20	59	9	1
400	03.06.2019 16:27	838	16	156	174	0	20	59	9	1
399	03.06.2019 17:27	778	12	133	171	0	20	60	9	1
398	03.06.2019 18:27	793	8	161	149	0	20	60	9	1
397	03.06.2019 19:27	832	9	138	187	0	20	60	9	1
396	03.06.2019 20:27	778	6	153	151	0	20	60	9	1
395	03.06.2019 21:27	855	11	158	176	1	20	60	9	1
394	03.06.2019 22:27	977	13	203	179	0	20	60	9	1
393	03.06.2019 23:27	1111	13	241	193	0	20	60	9	1
392	04.06.2019 0:27	1141	16	228	218	0	20	60	9	1
391	04.06.2019 1:27	1179	18	203	261	0	20	59	9	1
390	04.06.2019 2:27	1161	17	204	253	0	20	59	9	1
389	04.06.2019 3:27	1024	19	185	218	0	20	59	9	1
388	04.06.2019 4:27	1105	20	212	223	0	20	59	9	1
387	04.06.2019 5:27	1024	12	178	236	0	19	59	9	1
386	04.06.2019 6:27	1037	22	186	233	0	19	59	9	1
385	04.06.2019 7:27	945	18	188	194	0	19	59	9	1
384	04.06.2019 8:27	991	18	208	182	0	20	59	9	1
383	04.06.2019 9:27	965	14	161	219	0	20	59	9	1
382	04.06.2019 10:27	863	11	146	194	0	20	59	9	1
381	04.06.2019 11:27	828	16	168	158	0	20	59	9	1
380	04.06.2019 12:27	843	12	152	180	0	20	59	9	1
379	04.06.2019 13:27	914	18	163	197	0	20	59	9	1
378	04.06.2019 14:27	803	17	149	167	0	20	59	9	1
377	04.06.2019 15:27	930	14	173	193	0	20	59	9	1
376	04.06.2019 16:27	818	11	145	177	1	20	59	9	1
375	04.06.2019 17:27	1011	17	201	197	0	20	59	9	1
374	04.06.2019 18:27	828	16	150	176	0	20	59	9	1
373	04.06.2019 19:27	888	24	154	193	0	20	60	9	1
372	04.06.2019 20:27	801	9	144	169	0	20	60	9	1
371	04.06.2019 21:27	911	10	166	190	0	20	60	9	1
370	04.06.2019 22:27	947	14	181	189	0	20	60	9	1
369	04.06.2019 23:27	1021	16	207	192	0	20	60	9	1
368	05.06.2019 0:27	1203	20	251	219	0	20	60	9	1
367	05.06.2019 1:27	1264	19	239	255	0	20	60	9	1
366	05.06.2019 2:27	1187	20	217	247	0	20	60	9	1
365	05.06.2019 3:27	1246	15	235	252	0	20	60	9	1
364	05.06.2019 4:27	1182	15	210	252	0	20	60	9	1
363	05.06.2019 5:27	1200	25	209	260	0	20	60	9	1
362	05.06.2019 6:27	998	22	182	208	0	20	60	9	1
361	05.06.2019 7:27	1042	14	196	211	0	20	60	9	1
360	05.06.2019 8:27	1098	16	210	219	0	20	60	9	1
359	05.06.2019 9:27	1182	16	230	232	0	20	60	9	1
358	05.06.2019 12:28	233	1	8	79	0	25	50	10	1
357	05.06.2019 13:28	96	2	11	25	0	25	50	9	1
356	05.06.2019 14:28	107	2	19	22	0	24	50	9	1
355	05.06.2019 15:28	129	3	32	18	0	24	49	9	1
354	05.06.2019 16:28	140	1	27	26	0	25	49	9	1
353	05.06.2019 17:28	184	6	34	38	0	24	48	9	1
352	05.06.2019 18:28	251	3	58	40	0	24	48	9	1
351	05.06.2019 19:28	331	5	68	61	0	24	48	9	1
350	05.06.2019 20:28	290	2	56	57	0	24	48	9	1
349	05.06.2019 21:28	308	7	44	76	0	24	48	9	1
348	05.06.2019 22:28	233	2	37	54	0	24	48	9	1
347	05.06.2019 23:28	202	2	36	43	0	24	48	9	1
346	06.06.2019 0:28	178	6	30	39	0	24	49	9	1
345	06.06.2019 1:28	147	3	21	36	1	24	49	9	1
344	06.06.2019 2:28	72	1	10	18	0	24	49	9	1
343	06.06.2019 3:28	91	1	16	19	0	24	50	9	1
342	06.06.2019 4:28	99	1	20	18	0	24	50	9	1
341	06.06.2019 5:28	99	2	20	18	0	24	50	9	1
340	06.06.2019 6:28	162	3	34	28	0	24	50	9	1
339	06.06.2019 7:28	109	1	19	23	0	24	50	9	1
338	06.06.2019 8:28	54	1	9	12	0	24	50	9	1
337	06.06.2019 9:28	65	0	10	15	0	24	50	9	1
336	06.06.2019 10:28	52	2	7	13	0	24	50	9	1
335	06.06.2019 11:28	33	1	8	5	0	24	50	9	1
334	06.06.2019 12:28	41	0	4	12	0	24	50	9	1
333	06.06.2019 13:28	31	1	5	7	0	24	50	9	1
332	06.06.2019 14:28	41	0	12	4	1	24	50	9	1
331	06.06.2019 15:28	75	2	14	15	0	24	50	9	1
330	06.06.2019 16:28	49	1	7	12	0	24	50	9	1
329	06.06.2019 17:28	81	0	21	10	0	24	50	9	1
328	06.06.2019 18:28	92	1	18	17	0	24	51	9	1
327	06.06.2019 19:28	134	2	27	24	0	24	51	9	1
326	06.06.2019 20:28	200	3	46	30	0	24	51	9	1
325	06.06.2019 21:28	192	6	28	45	0	24	51	9	1
324	06.06.2019 22:28	211	3	44	36	0	24	51	9	1
323	06.06.2019 23:28	255	5	55	42	0	24	51	9	1
322	07.06.2019 0:28	276	4	45	60	0	24	51	9	1
321	07.06.2019 1:28	271	2	47	56	0	24	51	9	1
320	07.06.2019 2:28	250	3	41	54	0	24	51	9	1
319	07.06.2019 3:28	218	0	41	42	0	24	51	9	1
318	07.06.2019 4:28	200	3	34	42	0	24	51	9	1
317	07.06.2019 5:28	159	0	25	36	0	24	50	9	1
316	07.06.2019 6:28	149	4	21	36	0	24	50	9	1
315	07.06.2019 7:28	175	4	35	32	0	24	50	9	1
314	07.06.2019 8:28	198	4	44	32	0	24	50	9	1
