zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
633	18.06.2019 23:22	492	58	99	83	0	25	45	7	1	
634	19.06.2019 00:22	441	68	81	82	0	25	45	7	1	
635	19.06.2019 01:22	446	65	96	69	0	25	45	7	1	
636	19.06.2019 02:22	387	51	67	76	0	25	45	7	1	
637	19.06.2019 03:22	341	51	69	57	0	25	45	7	1	
638	19.06.2019 04:22	358	54	78	53	0	25	46	7	1	
639	19.06.2019 05:22	407	56	80	69	0	25	46	7	1	
640	19.06.2019 06:22	459	48	81	87	0	25	46	7	1	
641	19.06.2019 07:22	363	53	71	62	0	25	46	7	1	
642	19.06.2019 08:22	322	50	70	44	0	26	47	7	1	
643	19.06.2019 09:22	409	35	92	53	0	26	47	7	1	
644	19.06.2019 10:22	342	43	66	55	0	26	47	7	1	
645	19.06.2019 11:22	378	60	78	56	0	26	47	7	1	
646	19.06.2019 12:22	359	67	69	58	0	26	47	7	1	
647	19.06.2019 13:22	373	62	69	63	0	26	47	7	1	
648	19.06.2019 14:22	367	54	71	59	0	26	47	7	1	
649	19.06.2019 15:22	384	59	80	56	0	26	47	7	1	
650	19.06.2019 16:22	288	60	57	46	0	26	46	7	1	
651	19.06.2019 17:22	285	44	52	50	0	26	46	7	1	
652	19.06.2019 18:22	257	56	54	38	0	26	46	7	1	
653	19.06.2019 19:22	240	45	56	30	0	26	46	7	1	
654	19.06.2019 20:22	291	42	65	38	0	26	47	7	1	
655	19.06.2019 21:22	302	58	65	42	0	26	47	7	1	
656	19.06.2019 22:22	407	48	91	53	0	26	47	7	1	
657	19.06.2019 23:22	525	67	121	65	0	26	47	7	1	
658	20.06.2019 00:22	506	72	85	94	0	26	47	7	1	
659	20.06.2019 01:22	467	55	85	79	0	26	48	7	1	
660	20.06.2019 02:22	464	56	78	85	0	26	48	7	1	
661	20.06.2019 03:22	450	41	88	70	0	26	48	7	1	
662	20.06.2019 04:22	431	50	84	71	0	25	48	7	1	
663	20.06.2019 05:22	406	65	84	62	0	25	48	7	1	
664	20.06.2019 06:22	411	67	78	71	0	25	47	7	1	
665	20.06.2019 07:22	373	59	70	62	0	26	47	7	1	
666	20.06.2019 08:22	375	59	78	55	0	26	47	7	1	
667	20.06.2019 09:22	440	47	78	78	0	26	47	7	1	
668	20.06.2019 10:22	375	49	69	64	0	26	47	7	1	
