time \ channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
01.06.2019 07:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	2	2	1	0	1	1	9	8	48	44	1	0	0	2	0	2	2	1	3	4	1	3	8	14	17	50	15	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 06:55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	3	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	2	3	0	2	3	4	4	14	44	35	3	1	1	0	1	1	1	1	1	2	2	5	3	17	37	55	7	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 05:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	1	2	0	1	2	2	1	3	4	6	11	43	47	0	0	1	0	0	0	0	1	1	0	2	7	1	23	28	49	15	4	4	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0
01.06.2019 04:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	2	1	0	2	1	0	0	0	0	0	1	1	0	2	1	3	2	1	4	4	4	3	15	42	43	1	1	0	0	0	2	1	1	0	2	1	2	10	10	31	56	6	6	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 03:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	1	0	0	0	1	0	1	1	3	0	2	6	2	9	4	11	49	41	1	0	2	1	1	0	1	1	1	0	2	4	8	14	28	61	7	5	4	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
01.06.2019 02:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	5	2	1	3	2	6	12	50	40	1	1	0	1	1	1	0	0	3	0	3	2	3	17	35	52	9	4	2	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0
01.06.2019 01:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	2	0	1	0	0	0	2	1	0	0	0	1	0	1	1	0	0	1	1	0	1	4	0	6	2	6	8	56	46	0	0	0	2	0	0	0	1	3	1	2	5	3	10	40	45	13	11	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
01.06.2019 00:55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	2	0	0	1	0	0	1	0	1	0	0	2	2	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	2	2	2	1	2	8	10	58	55	2	1	3	2	0	0	2	1	1	0	1	5	6	13	26	49	13	10	3	5	3	1	0	1	0	0	0	0	0	0	0	0	0	0
31.05.2019 23:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	3	2	2	4	15	49	48	0	0	1	0	0	0	0	1	1	1	4	2	4	17	35	46	11	12	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 22:55	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	2	1	0	0	1	2	9	11	48	41	0	0	0	0	1	0	1	0	1	1	1	2	6	7	30	47	10	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
